user_id,reward,level
-1,320500,3
13,13500,1
68,144000,3
74,782000,3
78,433500,3
85,152500,3
86,584000,3
96,432500,3
99,5000,0
119,1067500,3
1060,11500,1
2055,4000,0
2060,503000,3
2063,84500,2
2064,1000,0
2071,15000,1
2079,22000,1
2081,7000,0
2086,2000,0
2087,73000,2
3087,146500,3
3088,15000,1
3090,96500,2
3093,2000,0
3096,13000,1
3097,41000,2
3098,16500,1
4098,7000,0
4099,216500,3
4102,7500,0
5104,1500,0
5107,2500,0
5111,2901000,3
5113,356000,3
5115,40000,2
6116,9000,0
7119,800500,3
7120,9000,0
7122,36000,2
8128,59000,2
9138,4000,0
9143,107000,3
9154,1000,0
9158,22000,1
9159,13500,1
9167,1500,0
9175,163500,3
9190,108000,3
9192,2000,0
9193,217000,3
9194,35500,2
9199,51000,2
10042,34500,2
10046,1500,0
10200,2500,0
10201,47000,2
10209,32000,2
11212,1048500,3
11217,84000,2
11223,11500,1
11224,12500,1
11231,32500,2
30060,10000,1
30168,74000,2
30178,14500,1
30188,28500,1
30189,10000,1
30199,8500,0
30233,13000,1
30235,1500,0
30297,4000,0
30327,3500,0
30337,208500,3
30340,64500,2
30390,9000,0
30477,45000,2
30574,25000,1
30598,2000,0
30604,163500,3
30643,6500,0
30649,22000,1
30674,1000,0
30706,53500,2
30708,12500,1
30745,1000,0
30792,11000,1
30801,10000,1
30807,11000,1
30845,6000,0
30852,25000,1
30855,30000,2
30856,20000,1
30917,1000,0
30929,10000,1
30941,442000,3
30964,54000,2
30965,3000,0
30997,9500,0
31093,19500,1
31111,2000,0
31168,12000,1
31299,1500,0
31307,5000,0
31354,80500,2
31363,3500,0
31389,20000,1
31430,101000,3
31444,81000,2
31449,4000,0
31485,1500,0
31524,1500,0
31530,21000,1
31559,4000,0
31581,7000,0
31591,2500,0
31611,139000,3
31630,11500,1
31642,7000,0
31699,10500,1
31727,2500,0
31763,4000,0
31835,1500,0
31845,11000,1
31909,1500,0
31927,2000,0
31933,14000,1
31966,1000,0
31984,8500,0
31994,59500,2
32001,1500,0
32012,1000,0
32025,28500,1
32056,6500,0
32080,1500,0
32100,9000,0
32133,30000,2
32137,14000,1
32138,5000,0
32142,2500,0
32144,7000,0
32206,7000,0
32213,7000,0
32231,3000,0
32232,17000,1
32270,2000,0
32275,12000,1
32277,54000,2
32279,17500,1
32282,303000,3
32288,1500,0
32320,27500,1
32330,142000,3
32331,1053500,3
32350,354500,3
32356,1500,0
32365,86500,2
32368,123500,3
32369,21500,1
32373,323500,3
32391,15000,1
32394,220000,3
32412,892000,3
32413,19500,1
32419,3000,0
32453,65500,2
32462,25500,1
32469,8000,0
32471,12000,1
32472,4000,0
32473,16500,1
32481,3500,0
32502,6178000,3
32536,1500,0
32586,2500,0
32611,6000,0
32618,123500,3
32619,54000,2
32622,33000,2
32636,14500,1
32652,7000,0
32661,51500,2
32662,1000,0
32679,46000,2
32684,3000,0
32698,1500,0
32700,6000,0
32703,4000,0
32705,18500,1
32715,8500,0
32724,1500,0
32730,12000,1
32734,117500,3
32749,28000,1
32764,240500,3
32792,103500,3
32806,625500,3
32811,45000,2
32852,897000,3
32857,14000,1
32872,6500,0
32877,3000,0
32886,30000,2
32895,1500,0
32902,15000,1
32909,1000,0
32910,44000,2
32927,4000,0
32944,13000,1
32953,27000,1
32954,12000,1
32967,24000,1
32977,15000,1
32989,3500,0
32990,6500,0
32992,39000,2
33002,3000,0
33010,4500,0
33016,31500,2
33037,24500,1
33055,2500,0
33057,4000,0
33060,3000,0
33089,16000,1
33090,12000,1
33097,72000,2
33099,3000,0
33108,6000,0
33146,5000,0
33168,2000,0
33170,4000,0
33171,2000,0
33183,4500,0
33209,5000,0
33211,4500,0
33213,105000,3
33214,4500,0
33216,19000,1
33217,29500,1
33222,15500,1
33252,5000,0
33274,1000,0
33286,1500,0
33314,1000,0
33315,29500,1
33325,14000,1
33329,3000,0
33340,13000,1
33353,12500,1
33357,14000,1
33364,103500,3
33367,1500,0
33374,53500,2
33375,2500,0
33379,11500,1
33386,14000,1
33390,3000,0
33402,190000,3
33404,7500,0
33440,452500,3
33442,31000,2
33447,19000,1
33487,79500,2
33489,2500,0
33498,13000,1
33508,6000,0
33522,9000,0
33525,175500,3
33554,40000,2
33574,8000,0
33600,4500,0
33620,1000,0
33655,126000,3
33682,2000,0
33691,4500,0
33710,87000,2
33768,3500,0
33773,4500,0
33785,1500,0
33802,32500,2
33808,1500,0
33810,22000,1
33857,1000,0
33865,1729000,3
33866,3500,0
33877,1500,0
33882,16000,1
33885,11000,1
33887,3000,0
33908,46500,2
33909,86500,2
33948,4000,0
33962,9000,0
33971,1000,0
33974,45000,2
33981,185500,3
33982,37500,2
33987,7000,0
34007,1500,0
34021,18000,1
34038,24500,1
34043,1000,0
34071,2000,0
34119,2000,0
34125,6000,0
34162,4000,0
34176,3500,0
34193,1500,0
34204,116000,3
34232,5000,0
34257,8000,0
34273,3500,0
34289,16500,1
34293,5000,0
34298,19000,1
34315,53500,2
34327,54000,2
34335,83500,2
34399,57000,2
34405,76000,2
34414,4000,0
34421,3500,0
34436,3500,0
34437,80000,2
34446,3000,0
34447,1500,0
34450,19000,1
34467,1500,0
34471,150000,3
34505,1500,0
34512,10500,1
34519,10000,1
34537,15000,1
34544,79000,2
34602,2500,0
34613,13500,1
34621,11000,1
34625,5500,0
34650,51000,2
34660,32500,2
34676,40000,2
34685,13500,1
34723,4000,0
34737,3156500,3
34770,3000,0
34773,20000,1
34775,92500,2
34785,174000,3
34814,1000,0
34823,36000,2
34847,410500,3
34850,5000,0
34853,15000,1
34871,1000,0
34880,4000,0
34891,21000,1
34892,22000,1
34907,2500,0
34913,1500,0
34915,53500,2
34921,43000,2
34958,1000,0
34964,31500,2
34976,17500,1
35009,4000,0
35039,27500,1
35057,17000,1
35079,1500,0
35090,7000,0
35106,2500,0
35109,378000,3
35140,9500,0
35152,64000,2
35155,7000,0
35172,1500,0
35173,1500,0
35234,33500,2
35260,1500,0
